Date,Bikes_Rented
9/26/2017,163
9/27/2017,141
9/28/2017,149
9/29/2017,177
9/30/2017,311
10/1/2017,207
10/2/2017,135
10/3/2017,137
10/4/2017,137
10/5/2017,69
10/6/2017,137
10/7/2017,260
10/8/2017,82
10/9/2017,102
10/10/2017,98
10/11/2017,131
10/12/2017,101
10/13/2017,148
10/14/2017,354
10/15/2017,349
10/16/2017,106
10/17/2017,100
10/18/2017,137
10/19/2017,130
10/20/2017,163
10/21/2017,278
10/22/2017,229
10/23/2017,59
10/24/2017,69
10/25/2017,86
10/26/2017,92
10/27/2017,152
10/28/2017,74
10/29/2017,33
10/30/2017,57
10/31/2017,63
11/1/2017,35
11/2/2017,152
11/3/2017,133
11/4/2017,100
11/5/2017,41
11/6/2017,74
11/7/2017,45
11/8/2017,82
11/9/2017,66
11/10/2017,36
11/11/2017,73
11/12/2017,25
11/13/2017,65
11/14/2017,65
11/15/2017,44
11/16/2017,52
11/17/2017,73
11/18/2017,46
11/19/2017,18
11/20/2017,54
11/21/2017,67
11/22/2017,29
11/23/2017,6
11/24/2017,54
11/25/2017,64
11/26/2017,26
11/27/2017,53
11/28/2017,87
11/29/2017,77
11/30/2017,48
12/1/2017,62
12/2/2017,48
12/3/2017,52
12/4/2017,60
12/5/2017,52
12/6/2017,59
12/7/2017,40
12/8/2017,48
12/9/2017,11
12/10/2017,13
12/11/2017,43
12/12/2017,28
12/13/2017,20
12/14/2017,28
12/15/2017,32
12/16/2017,22
12/17/2017,18
12/18/2017,39
12/19/2017,50
12/20/2017,40
12/21/2017,50
12/22/2017,23
12/23/2017,5
12/24/2017,17
12/25/2017,0
12/26/2017,8
12/27/2017,13
12/28/2017,18
12/29/2017,10
12/30/2017,2
12/31/2017,7
1/1/2018,5
1/2/2018,15
1/3/2018,19
1/4/2018,19
1/5/2018,17
1/6/2018,2
1/7/2018,7
1/8/2018,12
1/9/2018,21
1/10/2018,34
1/11/2018,33
1/12/2018,22
1/13/2018,3
1/14/2018,5
1/15/2018,1
1/16/2018,11
1/17/2018,13
1/18/2018,11
1/19/2018,11
1/20/2018,19
1/21/2018,16
1/22/2018,31
1/23/2018,28
1/24/2018,22
1/25/2018,28
1/26/2018,70
1/27/2018,30
1/28/2018,60
1/29/2018,36
1/30/2018,22
1/31/2018,37
2/1/2018,44
2/2/2018,31
2/3/2018,14
2/4/2018,8
2/5/2018,20
2/6/2018,22
2/7/2018,6
2/8/2018,10
2/9/2018,18
2/10/2018,8
2/11/2018,6
2/12/2018,32
2/13/2018,26
2/14/2018,32
2/15/2018,32
2/16/2018,31
2/17/2018,8
2/18/2018,48
2/19/2018,41
2/20/2018,158
2/21/2018,29
2/22/2018,23
2/23/2018,24
2/24/2018,16
2/25/2018,73
2/26/2018,42
2/27/2018,94
2/28/2018,58
